Document Name,Original Issue Date,Date Added to this List,Identifier,Topics,Description/Summary,URL
"Carcinogenicity [dietary, gavage, drinking water, dermal or inhalation] - Mouse",7/1/2010,2/28/2020,EPA 705-G-2020-3347,Study Profile Template,"Study profile templates serve as a guide for the preparation of study documents. Applicants may include additional information beyond that prescribed in a particular study profile; however, it should be done without affecting or changing the format and content of the template.",https://www.epa.gov/sites/production/files/2015-10/carcinogenicity-mouse.doc
"Carcinogenicity [dietary, gavage, drinking water, dermal or inhalation] - Rat",7/1/2010,2/28/2020,EPA 705-G-2020-3348,Study Profile Template,"Study profile templates serve as a guide for the preparation of study documents. Applicants may include additional information beyond that prescribed in a particular study profile; however, it should be done without affecting or changing the format and content of the template.",https://www.epa.gov/sites/production/files/2015-10/carcinogenicity-rat.doc
"Chronic Toxicity [dietary, gavage, drinking water, dermal or inhalation] - [rodent species]",7/1/2010,2/28/2020,EPA 705-G-2020-3343,Study Profile Template,"Study profile templates serve as a guide for the preparation of study documents. Applicants may include additional information beyond that prescribed in a particular study profile; however, it should be done without affecting or changing the format and content of the template.",https://www.epa.gov/sites/production/files/2015-10/chronic-toxicity-rodent.doc
"Chronic Toxicity [feeding, water, dermal or inhalation] - [non-rodent species]",7/1/2010,2/28/2020,EPA 705-G-2020-3344,Study Profile Template,"Study profile templates serve as a guide for the preparation of study documents. Applicants may include additional information beyond that prescribed in a particular study profile; however, it should be done without affecting or changing the format and content of the template.",https://www.epa.gov/sites/production/files/2015-10/chronic-toxicity-non-rodent.doc
"Combined Chronic Toxicity/Carcinogenicity [dietary, gavage, drinking water, dermal or inhalation] - [species]",7/1/2010,2/28/2020,EPA 705-G-2020-3349,Study Profile Template,"Study profile templates serve as a guide for the preparation of study documents. Applicants may include additional information beyond that prescribed in a particular study profile; however, it should be done without affecting or changing the format and content of the template.",https://www.epa.gov/sites/production/files/2015-10/combined-chronic-toxicity-carcinogenicity.doc
Dermal Penetration,7/1/2010,2/28/2020,EPA 705-G-2020-3359,Study Profile Template,"Study profile templates serve as a guide for the preparation of study documents. Applicants may include additional information beyond that prescribed in a particular study profile; however, it should be done without affecting or changing the format and content of the template.",https://www.epa.gov/sites/production/files/2015-10/dermal-penetration.doc
Determination of Transferable Residue on Indoor Treated Surfaces,7/1/2010,2/28/2020,EPA 705-G-2020-3367,Study Profile Template,"Study profile templates serve as a guide for the preparation of study documents. Applicants may include additional information beyond that prescribed in a particular study profile; however, it should be done without affecting or changing the format and content of the template.",https://www.epa.gov/sites/production/files/2015-10/transfer-residue-indoor-treated-surfaces.doc
Developmental Neurotoxicity Study - Rat,7/1/2010,2/28/2020,EPA 705-G-2020-3357,Study Profile Template,"Study profile templates serve as a guide for the preparation of study documents. Applicants may include additional information beyond that prescribed in a particular study profile; however, it should be done without affecting or changing the format and content of the template.",https://www.epa.gov/sites/production/files/2015-10/developmental-neurotoxicity-rat.doc
Dislodgeable Foliar Residue,7/1/2010,2/28/2020,EPA 705-G-2020-3366,Study Profile Template,"Study profile templates serve as a guide for the preparation of study documents. Applicants may include additional information beyond that prescribed in a particular study profile; however, it should be done without affecting or changing the format and content of the template.",https://www.epa.gov/sites/production/files/2015-10/dislodgeable-foliar-residue.doc
Dislodgeable Turf Residues,7/1/2010,2/28/2020,EPA 705-G-2020-3365,Study Profile Template,"Study profile templates serve as a guide for the preparation of study documents. Applicants may include additional information beyond that prescribed in a particular study profile; however, it should be done without affecting or changing the format and content of the template.",https://www.epa.gov/sites/production/files/2015-10/dislodgeable-turf-residues.doc
Hand Press Residues,7/1/2010,2/28/2020,EPA 705-G-2020-3368,Study Profile Template,"Study profile templates serve as a guide for the preparation of study documents. Applicants may include additional information beyond that prescribed in a particular study profile; however, it should be done without affecting or changing the format and content of the template.",https://www.epa.gov/sites/production/files/2015-10/hand-press-residues.doc
Immunotoxicity,7/1/2010,2/28/2020,EPA 705-G-2020-3360,Study Profile Template,"Study profile templates serve as a guide for the preparation of study documents. Applicants may include additional information beyond that prescribed in a particular study profile; however, it should be done without affecting or changing the format and content of the template.",https://www.epa.gov/sites/production/files/2015-10/immunotoxicity.doc
In Vitro Mammalian Cells in Culture Gene Mutation Assay in [name cell type used] cells,7/1/2010,2/28/2020,EPA 705-G-2020-3351,Study Profile Template,"Study profile templates serve as a guide for the preparation of study documents. Applicants may include additional information beyond that prescribed in a particular study profile; however, it should be done without affecting or changing the format and content of the template.",https://www.epa.gov/sites/production/files/2015-10/invitro-mammalian-culture-gene-mutation.doc
In Vitro Mammalian Cytogenetics (specify assay) or In Vitro Sister Chromatid Exchange Assay in (name species/cell type),7/1/2010,2/28/2020,EPA 705-G-2020-3352,Study Profile Template,"Study profile templates serve as a guide for the preparation of study documents. Applicants may include additional information beyond that prescribed in a particular study profile; however, it should be done without affecting or changing the format and content of the template.",https://www.epa.gov/sites/production/files/2015-10/invitro-mammalian-cytogenetics.doc
In Vitro Microbial Gene Mutation,7/1/2010,2/28/2020,EPA 705-G-2020-3350,Study Profile Template,"Study profile templates serve as a guide for the preparation of study documents. Applicants may include additional information beyond that prescribed in a particular study profile; however, it should be done without affecting or changing the format and content of the template.",https://www.epa.gov/sites/production/files/2015-10/invitro-microbial-gene-mutation.doc
In Vivo Mammalian Cytogenetics - Erythrocyte Micronucleus Assay in [name species],7/1/2010,2/28/2020,EPA 705-G-2020-3353,Study Profile Template,"Study profile templates serve as a guide for the preparation of study documents. Applicants may include additional information beyond that prescribed in a particular study profile; however, it should be done without affecting or changing the format and content of the template.",https://www.epa.gov/sites/production/files/2015-10/invivo-mammalian-cytogenetics-erythrocyte.doc
Metabolism Study - Rat,7/1/2010,2/28/2020,EPA 705-G-2020-3358,Study Profile Template,"Study profile templates serve as a guide for the preparation of study documents. Applicants may include additional information beyond that prescribed in a particular study profile; however, it should be done without affecting or changing the format and content of the template.",https://www.epa.gov/sites/production/files/2015-10/metabolism-rat.doc
Mixer/Loader/Applicator Passive Dosimetry,7/1/2010,2/28/2020,EPA 705-G-2020-3363,Study Profile Template,"Study profile templates serve as a guide for the preparation of study documents. Applicants may include additional information beyond that prescribed in a particular study profile; however, it should be done without affecting or changing the format and content of the template.",https://www.epa.gov/sites/production/files/2015-10/mixer-loader-applicator-passive-dosimetry.doc
Neurotoxicity Screening Battery - Rat (Acute),7/1/2010,2/28/2020,EPA 705-G-2020-3355,Study Profile Template,"Study profile templates serve as a guide for the preparation of study documents. Applicants may include additional information beyond that prescribed in a particular study profile; however, it should be done without affecting or changing the format and content of the template.",https://www.epa.gov/sites/production/files/2015-10/acute-neurotoxicity-screening-battery-rat.doc
Neurotoxicity Screening Battery - Rat (Subchronic),7/1/2010,2/28/2020,EPA 705-G-2020-3356,Study Profile Template,"Study profile templates serve as a guide for the preparation of study documents. Applicants may include additional information beyond that prescribed in a particular study profile; however, it should be done without affecting or changing the format and content of the template.",https://www.epa.gov/sites/production/files/2015-10/subchronic-neurotoxicity-screening-battery-rat.doc
Other Genotoxicity: Unscheduled DNA Synthesis in Primary Rat Hepatocytes / Mammalian Cell Culture,7/1/2010,2/28/2020,EPA 705-G-2020-3354,Study Profile Template,"Study profile templates serve as a guide for the preparation of study documents. Applicants may include additional information beyond that prescribed in a particular study profile; however, it should be done without affecting or changing the format and content of the template.",https://www.epa.gov/sites/production/files/2015-10/other-genotoxicity.doc
Prenatal Developmental Toxicity Study - [non-rodent species],7/1/2010,2/28/2020,EPA 705-G-2020-3341,Study Profile Template,"Study profile templates serve as a guide for the preparation of study documents. Applicants may include additional information beyond that prescribed in a particular study profile; however, it should be done without affecting or changing the format and content of the template.",https://www.epa.gov/sites/production/files/2015-10/prenataldev-toxicity-non-rodent.doc
Prenatal Developmental Toxicity Study - [rodent species],7/1/2010,2/28/2020,EPA 705-G-2020-3340,Study Profile Template,"Study profile templates serve as a guide for the preparation of study documents. Applicants may include additional information beyond that prescribed in a particular study profile; however, it should be done without affecting or changing the format and content of the template.",https://www.epa.gov/sites/production/files/2015-10/prenataldev-toxicity-rodent.doc
Reproduction and Fertility Effects Study - [species],7/1/2010,2/28/2020,EPA 705-G-2020-3342,Study Profile Template,"Study profile templates serve as a guide for the preparation of study documents. Applicants may include additional information beyond that prescribed in a particular study profile; however, it should be done without affecting or changing the format and content of the template.",https://www.epa.gov/sites/production/files/2015-10/reproduction-fertility-effects.doc
Residential Post Application Passive Dosimetry,7/1/2010,2/28/2020,EPA 705-G-2020-3362,Study Profile Template,"Study profile templates serve as a guide for the preparation of study documents. Applicants may include additional information beyond that prescribed in a particular study profile; however, it should be done without affecting or changing the format and content of the template.",https://www.epa.gov/sites/production/files/2015-10/residential-post-application-passive-dosimetry.doc
Subchronic Inhalation Toxicity - [species],7/1/2010,2/28/2020,EPA 705-G-2020-3339,Study Profile Template,"Study profile templates serve as a guide for the preparation of study documents. Applicants may include additional information beyond that prescribed in a particular study profile; however, it should be done without affecting or changing the format and content of the template.",https://www.epa.gov/sites/production/files/2015-10/subchronic-inhalation-toxicity.doc
